epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1484.72,1.08319,0.58559,0.9276,0.9243,0.82117,0.91264,0.66257,0.9599,0.52202,0.92098,0.007921,0.007921,0.007921
44,1519.95,1.08686,0.58849,0.93045,0.92398,0.81421,0.91319,0.66036,0.9608,0.52097,0.92152,0.0078715,0.0078715,0.0078715
45,1555.11,1.07103,0.57923,0.92783,0.91223,0.82838,0.91372,0.66574,0.95123,0.51457,0.91894,0.007822,0.007822,0.007822
46,1589.72,1.06977,0.57897,0.92765,0.92993,0.82017,0.91423,0.66994,0.94091,0.50854,0.91602,0.0077725,0.0077725,0.0077725
47,1624.49,1.06993,0.57829,0.92559,0.92286,0.81944,0.91664,0.67383,0.94381,0.51461,0.92057,0.007723,0.007723,0.007723
48,1659.19,1.0649,0.57465,0.9269,0.9272,0.82642,0.91619,0.66945,0.94344,0.51278,0.91568,0.0076735,0.0076735,0.0076735
49,1693.58,1.06461,0.57559,0.92796,0.92227,0.82748,0.91821,0.6748,0.93005,0.50015,0.91459,0.007624,0.007624,0.007624
50,1727.79,1.05169,0.56867,0.92764,0.9197,0.82413,0.91454,0.65724,0.97367,0.52304,0.92175,0.0075745,0.0075745,0.0075745
51,1761.98,1.0498,0.56764,0.92474,0.93253,0.81675,0.91612,0.67239,0.93959,0.50602,0.91364,0.007525,0.007525,0.007525
52,1796.29,1.05159,0.56703,0.92233,0.92312,0.83018,0.91963,0.67249,0.94711,0.50252,0.91801,0.0074755,0.0074755,0.0074755
53,1830.32,1.04112,0.56527,0.92399,0.92478,0.82468,0.9161,0.66655,0.94221,0.50734,0.91428,0.007426,0.007426,0.007426
54,1864.16,1.05342,0.56853,0.92327,0.92369,0.82597,0.91637,0.67153,0.94958,0.49829,0.91938,0.0073765,0.0073765,0.0073765
55,1898.34,1.04639,0.56785,0.92437,0.92706,0.82807,0.91739,0.67368,0.93451,0.50433,0.91425,0.007327,0.007327,0.007327
56,1932.75,1.03518,0.55949,0.91982,0.93413,0.82799,0.91959,0.67915,0.92813,0.50122,0.91008,0.0072775,0.0072775,0.0072775
57,1966.98,1.03505,0.55921,0.9225,0.92431,0.83391,0.92054,0.68695,0.90397,0.4848,0.90608,0.007228,0.007228,0.007228
58,2001.03,1.03373,0.55857,0.92076,0.92504,0.83567,0.92292,0.68524,0.91047,0.48989,0.90902,0.0071785,0.0071785,0.0071785
59,2035.19,1.02496,0.55347,0.91813,0.92604,0.82855,0.92111,0.68579,0.90799,0.48584,0.90724,0.007129,0.007129,0.007129
60,2069.96,1.02567,0.55664,0.92092,0.9299,0.83185,0.92299,0.68692,0.90443,0.4908,0.90515,0.0070795,0.0070795,0.0070795
61,2104.85,1.0246,0.55298,0.91892,0.93264,0.83018,0.92329,0.68742,0.90754,0.4874,0.90441,0.00703,0.00703,0.00703
62,2139.51,1.02175,0.55083,0.91796,0.93119,0.83391,0.92355,0.69026,0.90202,0.48484,0.90342,0.0069805,0.0069805,0.0069805
63,2174.38,1.02914,0.5537,0.91695,0.94078,0.82429,0.92183,0.68548,0.90599,0.48847,0.906,0.006931,0.006931,0.006931
64,2209.08,1.01889,0.55016,0.91705,0.93791,0.82463,0.92214,0.69051,0.91123,0.48163,0.90497,0.0068815,0.0068815,0.0068815
65,2243.64,1.01439,0.5477,0.91648,0.93859,0.82979,0.9234,0.69092,0.89849,0.47874,0.90143,0.006832,0.006832,0.006832
66,2277.86,1.00603,0.54106,0.91367,0.93106,0.83456,0.92351,0.69338,0.89751,0.47563,0.90276,0.0067825,0.0067825,0.0067825
67,2312.09,1.01106,0.54261,0.91347,0.92976,0.83057,0.92169,0.69261,0.88955,0.48076,0.89989,0.006733,0.006733,0.006733
68,2346.4,1.00386,0.54124,0.91552,0.92178,0.83906,0.92489,0.69372,0.88649,0.47367,0.90263,0.0066835,0.0066835,0.0066835
69,2380.73,1.00588,0.5419,0.91269,0.93154,0.83747,0.92323,0.69821,0.87313,0.47391,0.89876,0.006634,0.006634,0.006634
70,2414.39,1.00224,0.53901,0.91263,0.93081,0.83838,0.92679,0.70262,0.88099,0.46775,0.89889,0.0065845,0.0065845,0.0065845
71,2448.13,0.99573,0.53803,0.91258,0.93136,0.84112,0.92356,0.69485,0.87988,0.47323,0.89774,0.006535,0.006535,0.006535
72,2481.94,1.00164,0.54124,0.914,0.92464,0.84196,0.92497,0.70055,0.89234,0.46739,0.89795,0.0064855,0.0064855,0.0064855
