epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3343,1.92545,1.97266,1.27283,0.74171,0.55337,0.6369,0.31298,1.66894,1.31862,1.09396,0.00330789,0.00330789,0.00330789
2,47.3925,1.65941,1.05439,1.08709,0.76586,0.60706,0.70001,0.3842,1.44428,0.9797,1.02629,0.00660835,0.00660835,0.00660835
3,68.1998,1.65442,1.01565,1.06853,0.75866,0.62083,0.70687,0.38284,1.49991,1.11015,1.06009,0.00987581,0.00987581,0.00987581
4,89.4224,1.61748,1.00354,1.06137,0.80099,0.67053,0.74796,0.40136,1.47481,1.36254,1.06014,0.0098515,0.0098515,0.0098515
5,110.61,1.528,0.93025,1.03343,0.83727,0.69887,0.79329,0.45632,1.37667,0.94634,1.00677,0.009802,0.009802,0.009802
6,131.933,1.482,0.88372,1.01868,0.83656,0.71961,0.81482,0.49235,1.3185,0.88732,0.99033,0.0097525,0.0097525,0.0097525
7,153.008,1.44194,0.85896,1.01129,0.85197,0.68791,0.79728,0.46816,1.39464,0.87843,1.00836,0.009703,0.009703,0.009703
8,173.987,1.40573,0.83288,1.00078,0.86293,0.73478,0.83265,0.50765,1.30885,0.95812,0.99226,0.0096535,0.0096535,0.0096535
9,195.123,1.3776,0.81,0.99095,0.84637,0.71276,0.8158,0.51368,1.28672,0.86681,0.9942,0.009604,0.009604,0.009604
10,215.793,1.34564,0.78648,0.98596,0.88864,0.72061,0.83845,0.53413,1.23302,0.77604,0.94988,0.0095545,0.0095545,0.0095545
11,236.403,1.32955,0.77248,0.97975,0.84271,0.76246,0.84656,0.54281,1.2233,0.7518,0.95319,0.009505,0.009505,0.009505
12,257.477,1.31286,0.75946,0.9757,0.86847,0.76761,0.86037,0.5508,1.20681,0.74796,0.95361,0.0094555,0.0094555,0.0094555
13,278.372,1.29685,0.74736,0.96928,0.86343,0.75267,0.8449,0.54864,1.18658,0.79003,0.95435,0.009406,0.009406,0.009406
14,299.056,1.28081,0.73379,0.964,0.90461,0.78164,0.87199,0.56458,1.18117,0.70934,0.94306,0.0093565,0.0093565,0.0093565
15,320.171,1.25947,0.72578,0.96323,0.88616,0.74563,0.84697,0.54807,1.23524,0.76122,0.95628,0.009307,0.009307,0.009307
16,340.723,1.25585,0.71976,0.96157,0.88757,0.77083,0.86752,0.56751,1.15783,0.68234,0.93709,0.0092575,0.0092575,0.0092575
17,361.279,1.24578,0.70897,0.95633,0.90235,0.78519,0.88288,0.59109,1.13872,0.66062,0.92716,0.009208,0.009208,0.009208
