epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7978,1.83516,1.73395,1.17833,0.76784,0.59585,0.68427,0.38661,1.50347,1.15126,1.06483,0.000661578,0.000661578,0.000661578
2,46.6454,1.57344,0.97571,1.05659,0.85238,0.65624,0.76858,0.4217,1.49135,0.91739,1.04,0.00131948,0.00131948,0.00131948
3,67.415,1.49505,0.90383,1.03084,0.77989,0.65783,0.73903,0.40544,1.54628,1.246,1.10407,0.00196858,0.00196858,0.00196858
4,88.1772,1.48997,0.88739,1.0305,0.84576,0.71598,0.81347,0.49144,1.31237,0.84566,0.99853,0.0019604,0.0019604,0.0019604
5,109.111,1.42597,0.83921,1.01097,0.87152,0.70658,0.81587,0.49586,1.35975,0.81287,0.99303,0.0019472,0.0019472,0.0019472
6,129.57,1.39153,0.81339,0.99792,0.86575,0.7183,0.8156,0.4889,1.30605,0.81084,0.97478,0.001934,0.001934,0.001934
7,150.788,1.36575,0.79673,0.99478,0.85798,0.74147,0.83405,0.50893,1.28608,0.78657,0.96758,0.0019208,0.0019208,0.0019208
8,172.509,1.3431,0.77691,0.98598,0.88642,0.74443,0.84102,0.53308,1.25643,0.76326,0.96371,0.0019076,0.0019076,0.0019076
9,193.66,1.33106,0.76486,0.9817,0.86058,0.72023,0.81601,0.49938,1.29064,0.93455,0.98264,0.0018944,0.0018944,0.0018944
10,215.096,1.29919,0.74411,0.97465,0.85354,0.72821,0.82747,0.51398,1.25941,0.78637,0.96076,0.0018812,0.0018812,0.0018812
11,236.464,1.27933,0.73175,0.97028,0.90436,0.76573,0.86285,0.57503,1.17746,0.70477,0.94464,0.001868,0.001868,0.001868
12,257.497,1.26724,0.72012,0.96496,0.88444,0.7647,0.85932,0.56152,1.18246,0.71615,0.94167,0.0018548,0.0018548,0.0018548
13,278.939,1.2587,0.71852,0.96296,0.89951,0.76259,0.86593,0.57192,1.18353,0.69476,0.94686,0.0018416,0.0018416,0.0018416
14,300.32,1.24651,0.71411,0.95935,0.87802,0.77224,0.86207,0.57123,1.18999,0.71313,0.95155,0.0018284,0.0018284,0.0018284
15,320.9,1.24816,0.70909,0.96155,0.88911,0.76941,0.86555,0.56909,1.18984,0.69698,0.94347,0.0018152,0.0018152,0.0018152
16,341.848,1.22387,0.69049,0.95487,0.90515,0.7761,0.87633,0.58232,1.13211,0.67265,0.9309,0.001802,0.001802,0.001802
17,362.612,1.20552,0.68053,0.94921,0.90817,0.78022,0.88392,0.60448,1.11421,0.6373,0.92105,0.0017888,0.0017888,0.0017888
18,382.983,1.20282,0.67761,0.94864,0.90504,0.78705,0.88348,0.60313,1.11805,0.65513,0.92507,0.0017756,0.0017756,0.0017756
