epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2901,1.84939,1.87146,1.21019,0.75509,0.5065,0.61812,0.29159,1.71311,1.39811,1.0978,0.00330789,0.00330789,0.00330789
2,58.0801,1.67518,1.02865,1.08121,0.79924,0.66293,0.75576,0.40437,1.44406,1.11118,1.02453,0.00660835,0.00660835,0.00660835
3,85.0355,1.69013,1.02369,1.07441,0.70856,0.64684,0.69078,0.3111,1.56543,1.64176,1.07456,0.00987581,0.00987581,0.00987581
4,112.45,1.66666,1.01741,1.0765,0.69296,0.59894,0.65036,0.35527,1.53303,1.18632,1.08243,0.0098515,0.0098515,0.0098515
5,140.892,1.57191,0.94266,1.04761,0.79639,0.65379,0.76161,0.42437,1.47526,0.95526,1.06046,0.009802,0.009802,0.009802
6,169.822,1.5105,0.89614,1.02758,0.80447,0.71366,0.78564,0.44979,1.40227,0.97325,1.03206,0.0097525,0.0097525,0.0097525
7,199.226,1.46628,0.86109,1.01972,0.83621,0.72569,0.81721,0.49559,1.3106,0.92597,0.98841,0.009703,0.009703,0.009703
8,227.801,1.42262,0.83394,1.00621,0.84956,0.7518,0.83641,0.52481,1.24209,0.80644,0.97916,0.0096535,0.0096535,0.0096535
9,256.199,1.39231,0.81232,0.99645,0.86326,0.74859,0.83955,0.51753,1.31546,0.80879,0.99354,0.009604,0.009604,0.009604
10,284.241,1.35385,0.78639,0.99002,0.88541,0.75112,0.84955,0.53525,1.23197,0.76673,0.96362,0.0095545,0.0095545,0.0095545
11,313.21,1.33933,0.7742,0.98299,0.86086,0.74955,0.84341,0.52759,1.26674,0.77231,0.9739,0.009505,0.009505,0.009505
12,341.58,1.32483,0.75887,0.97826,0.87904,0.76631,0.86009,0.55385,1.19876,0.73529,0.95094,0.0094555,0.0094555,0.0094555
13,370.468,1.30514,0.74812,0.97334,0.87279,0.76683,0.86273,0.555,1.16431,0.72049,0.94332,0.009406,0.009406,0.009406
14,399.11,1.28689,0.73289,0.96843,0.88097,0.76612,0.86386,0.56637,1.18301,0.73993,0.94941,0.0093565,0.0093565,0.0093565
15,425.841,1.26611,0.72654,0.96713,0.89604,0.76825,0.86702,0.56852,1.16539,0.6875,0.93437,0.009307,0.009307,0.009307
16,451.997,1.25856,0.71559,0.96366,0.89315,0.76915,0.86885,0.57043,1.17068,0.68195,0.9401,0.0092575,0.0092575,0.0092575
17,478.43,1.24689,0.7063,0.9578,0.8998,0.76658,0.87753,0.58966,1.11799,0.6624,0.92546,0.009208,0.009208,0.009208
18,505.078,1.2392,0.69608,0.95572,0.88983,0.79168,0.87908,0.5942,1.11542,0.66423,0.93153,0.0091585,0.0091585,0.0091585
19,532.037,1.22127,0.69303,0.95358,0.89645,0.78782,0.88054,0.58813,1.13942,0.65485,0.93707,0.009109,0.009109,0.009109
20,558.966,1.20789,0.68447,0.95339,0.89927,0.79632,0.88679,0.60469,1.08604,0.64757,0.92287,0.0090595,0.0090595,0.0090595
21,585.461,1.19842,0.6732,0.94663,0.90253,0.79641,0.88462,0.59457,1.12429,0.64371,0.931,0.00901,0.00901,0.00901
22,612.153,1.18995,0.6699,0.94744,0.8944,0.80095,0.88814,0.60304,1.08838,0.63866,0.92194,0.0089605,0.0089605,0.0089605
23,638.921,1.17413,0.66229,0.94325,0.90636,0.79633,0.88681,0.59906,1.12374,0.63927,0.92631,0.008911,0.008911,0.008911
24,665.658,1.16399,0.65747,0.9424,0.90982,0.80224,0.89269,0.61953,1.06678,0.62203,0.91614,0.0088615,0.0088615,0.0088615
25,692.01,1.16384,0.65004,0.93601,0.8973,0.79323,0.88718,0.61181,1.06417,0.60506,0.90956,0.008812,0.008812,0.008812
