epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1424.6,1.04153,0.56079,0.92506,0.91752,0.81924,0.9108,0.66761,0.95341,0.50366,0.91592,0.0011882,0.0011882,0.0011882
43,1458.56,1.03658,0.55757,0.9221,0.92466,0.82013,0.91519,0.67047,0.94271,0.49964,0.91556,0.0011684,0.0011684,0.0011684
44,1492.17,1.03425,0.55833,0.92315,0.92598,0.81396,0.91344,0.67658,0.92825,0.49439,0.91078,0.0011486,0.0011486,0.0011486
45,1525.98,1.01759,0.54834,0.92033,0.91531,0.82336,0.91331,0.67165,0.93127,0.50329,0.91267,0.0011288,0.0011288,0.0011288
46,1559.55,1.01768,0.54959,0.92096,0.92331,0.82155,0.91589,0.68323,0.90509,0.48387,0.90761,0.001109,0.001109,0.001109
47,1593.53,1.01537,0.54811,0.91888,0.92547,0.82323,0.91382,0.67882,0.90981,0.49325,0.91141,0.0010892,0.0010892,0.0010892
48,1627.36,1.01012,0.54317,0.91918,0.91303,0.83842,0.91917,0.68735,0.89436,0.48011,0.90826,0.0010694,0.0010694,0.0010694
49,1661.22,1.00832,0.54449,0.921,0.91865,0.83443,0.91582,0.68181,0.90302,0.4863,0.90765,0.0010496,0.0010496,0.0010496
50,1695.3,0.99763,0.53794,0.92079,0.92828,0.82659,0.91801,0.68504,0.90668,0.48002,0.90775,0.0010298,0.0010298,0.0010298
51,1729.3,0.99512,0.53696,0.91658,0.9327,0.83323,0.9218,0.69174,0.88854,0.4788,0.90104,0.00101,0.00101,0.00101
52,1763.09,0.99642,0.53696,0.915,0.92037,0.83336,0.92152,0.68928,0.89435,0.47913,0.90467,0.0009902,0.0009902,0.0009902
53,1796.45,0.99008,0.53198,0.9148,0.92966,0.82525,0.92128,0.6944,0.88028,0.47165,0.90124,0.0009704,0.0009704,0.0009704
54,1830.09,0.99465,0.53639,0.91457,0.92874,0.82898,0.92191,0.69413,0.88674,0.4733,0.90272,0.0009506,0.0009506,0.0009506
55,1863.73,0.98728,0.53439,0.91559,0.9278,0.83387,0.9217,0.68875,0.88596,0.47648,0.90034,0.0009308,0.0009308,0.0009308
56,1897.73,0.98654,0.5313,0.91413,0.9142,0.83996,0.92157,0.68899,0.89558,0.47556,0.90308,0.000911,0.000911,0.000911
57,1931.59,0.97484,0.52694,0.91385,0.92143,0.84499,0.92504,0.69688,0.88423,0.46324,0.90111,0.0008912,0.0008912,0.0008912
58,1965.21,0.97703,0.52692,0.91242,0.92905,0.83288,0.92227,0.69286,0.87714,0.46317,0.89857,0.0008714,0.0008714,0.0008714
59,1998.79,0.97168,0.52396,0.91155,0.92457,0.84009,0.9259,0.69907,0.87701,0.46419,0.8972,0.0008516,0.0008516,0.0008516
60,2032.39,0.96485,0.5221,0.91228,0.93367,0.83469,0.92576,0.69812,0.87643,0.46403,0.89872,0.0008318,0.0008318,0.0008318
61,2066.2,0.96657,0.51877,0.91165,0.92656,0.84087,0.9263,0.7023,0.87479,0.46339,0.89834,0.000812,0.000812,0.000812
62,2099.86,0.95506,0.51497,0.90842,0.92093,0.83821,0.92473,0.70213,0.86341,0.46279,0.89676,0.0007922,0.0007922,0.0007922
63,2133.93,0.96333,0.51748,0.90721,0.92201,0.84176,0.92708,0.70335,0.86697,0.46039,0.89392,0.0007724,0.0007724,0.0007724
64,2167.8,0.95585,0.51567,0.90783,0.93494,0.83447,0.92697,0.70446,0.85836,0.45801,0.89401,0.0007526,0.0007526,0.0007526
65,2201.54,0.94992,0.51254,0.90627,0.93861,0.83064,0.92578,0.70484,0.85893,0.45854,0.89266,0.0007328,0.0007328,0.0007328
66,2235.53,0.94055,0.50498,0.90381,0.92967,0.83945,0.92735,0.70929,0.85295,0.45689,0.89337,0.000713,0.000713,0.000713
67,2269.5,0.94444,0.50633,0.90362,0.92576,0.8461,0.92663,0.70682,0.85341,0.45242,0.89263,0.0006932,0.0006932,0.0006932
68,2303.1,0.94108,0.5063,0.90665,0.92821,0.844,0.92758,0.70789,0.85062,0.45166,0.89235,0.0006734,0.0006734,0.0006734
69,2336.75,0.94268,0.50402,0.90408,0.93702,0.83518,0.92716,0.71214,0.84629,0.44827,0.89057,0.0006536,0.0006536,0.0006536
70,2370.8,0.93212,0.50046,0.90215,0.92791,0.83932,0.92649,0.71336,0.83852,0.4458,0.8886,0.0006338,0.0006338,0.0006338
71,2404.48,0.92909,0.50269,0.90352,0.93788,0.83592,0.92617,0.71064,0.84516,0.44638,0.88995,0.000614,0.000614,0.000614
72,2438.36,0.93166,0.50141,0.90271,0.93649,0.837,0.92857,0.71437,0.84607,0.44952,0.89042,0.0005942,0.0005942,0.0005942
73,2471.97,0.92625,0.49792,0.90083,0.93557,0.84125,0.92775,0.71331,0.83908,0.446,0.88833,0.0005744,0.0005744,0.0005744
74,2505.57,0.92542,0.4979,0.90044,0.93396,0.84306,0.9301,0.71442,0.83921,0.44184,0.88609,0.0005546,0.0005546,0.0005546
75,2539.02,0.92064,0.49287,0.89936,0.93085,0.84572,0.93015,0.71652,0.83193,0.44353,0.88638,0.0005348,0.0005348,0.0005348
76,2572.68,0.91453,0.48987,0.89845,0.93497,0.83842,0.92926,0.71742,0.83066,0.4453,0.88588,0.000515,0.000515,0.000515
77,2606.68,0.91361,0.49112,0.8993,0.93316,0.84842,0.93065,0.72278,0.8212,0.43874,0.88324,0.0004952,0.0004952,0.0004952
78,2640.29,0.90689,0.48671,0.897,0.9292,0.84717,0.93096,0.72191,0.82285,0.43894,0.88449,0.0004754,0.0004754,0.0004754
79,2673.75,0.90947,0.48882,0.89704,0.92934,0.85002,0.93132,0.72201,0.82242,0.43907,0.88437,0.0004556,0.0004556,0.0004556
80,2707.52,0.90078,0.48444,0.8946,0.93646,0.84717,0.92987,0.72233,0.81489,0.4355,0.88272,0.0004358,0.0004358,0.0004358
81,2741.3,0.89879,0.48425,0.89396,0.93068,0.85052,0.93118,0.72655,0.81069,0.43199,0.88259,0.000416,0.000416,0.000416
82,2774.76,0.90288,0.48481,0.89656,0.93317,0.84537,0.93099,0.72369,0.81315,0.43369,0.8825,0.0003962,0.0003962,0.0003962
83,2808.25,0.89537,0.48149,0.89467,0.93206,0.85078,0.93258,0.72496,0.81443,0.43494,0.88242,0.0003764,0.0003764,0.0003764
84,2841.61,0.89469,0.47834,0.89185,0.92756,0.8507,0.93155,0.7253,0.8145,0.43338,0.88232,0.0003566,0.0003566,0.0003566
85,2875.17,0.88884,0.47782,0.89536,0.93195,0.84756,0.93131,0.72781,0.80533,0.4284,0.88037,0.0003368,0.0003368,0.0003368
86,2908.45,0.88544,0.47504,0.89468,0.93774,0.84549,0.93085,0.72715,0.80725,0.4285,0.88098,0.000317,0.000317,0.000317
87,2941.64,0.8833,0.47461,0.89195,0.93288,0.84644,0.9315,0.72865,0.80799,0.42726,0.88031,0.0002972,0.0002972,0.0002972
88,2974.95,0.88694,0.47685,0.8932,0.9332,0.85026,0.93282,0.72891,0.80169,0.42487,0.87834,0.0002774,0.0002774,0.0002774
89,3008.24,0.87921,0.47132,0.88931,0.93635,0.84717,0.93224,0.72873,0.80356,0.4267,0.87914,0.0002576,0.0002576,0.0002576
90,3041.7,0.88084,0.47371,0.89064,0.93734,0.84549,0.93331,0.72993,0.801,0.42569,0.87984,0.0002378,0.0002378,0.0002378
91,3075.85,0.8369,0.4461,0.87146,0.93655,0.84627,0.93151,0.72455,0.8037,0.42854,0.88014,0.000218,0.000218,0.000218
92,3108.38,0.81526,0.43686,0.86571,0.94184,0.84344,0.93332,0.72862,0.79803,0.42558,0.87929,0.0001982,0.0001982,0.0001982
93,3140.94,0.8099,0.43527,0.86567,0.94194,0.84499,0.93346,0.72957,0.79605,0.42177,0.87822,0.0001784,0.0001784,0.0001784
94,3173.72,0.8017,0.43069,0.86393,0.93705,0.85095,0.93354,0.72951,0.79218,0.42029,0.8776,0.0001586,0.0001586,0.0001586
95,3206.3,0.80367,0.43009,0.86378,0.93775,0.8482,0.93475,0.73101,0.79183,0.41953,0.87709,0.0001388,0.0001388,0.0001388
96,3238.72,0.80511,0.43031,0.86334,0.93354,0.85181,0.93527,0.73342,0.78866,0.41806,0.87613,0.000119,0.000119,0.000119
97,3271.64,0.79435,0.42626,0.86255,0.93544,0.85129,0.93559,0.73432,0.78605,0.41723,0.87652,9.92e-05,9.92e-05,9.92e-05
98,3304.88,0.78974,0.42417,0.86303,0.93403,0.8531,0.93553,0.7359,0.78325,0.41627,0.87606,7.94e-05,7.94e-05,7.94e-05
99,3337.84,0.7896,0.42383,0.86067,0.93879,0.84975,0.93537,0.73604,0.78376,0.41618,0.87605,5.96e-05,5.96e-05,5.96e-05
100,3370.83,0.78457,0.42088,0.86113,0.93679,0.85039,0.93587,0.7378,0.78296,0.41552,0.87597,3.98e-05,3.98e-05,3.98e-05
