epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1129,1.803,1.4924,1.17816,0.7055,0.5226,0.63009,0.35649,1.50516,1.1676,1.05794,0.000661578,0.000661578,0.000661578
2,45.1081,1.54633,0.9515,1.05398,0.80622,0.64438,0.75495,0.45416,1.413,0.9405,1.03218,0.00131948,0.00131948,0.00131948
3,65.3977,1.47767,0.88729,1.02689,0.82505,0.68247,0.78899,0.47124,1.369,0.91256,1.0176,0.00196858,0.00196858,0.00196858
4,85.1873,1.45696,0.86033,1.02319,0.82489,0.69898,0.77931,0.47245,1.36731,0.91469,1.03237,0.0019604,0.0019604,0.0019604
5,105.632,1.41093,0.82926,1.01094,0.86452,0.71233,0.82005,0.4945,1.35233,0.83456,0.99639,0.0019472,0.0019472,0.0019472
6,125.801,1.37527,0.79345,0.99527,0.84974,0.70116,0.80803,0.5008,1.32637,0.82071,0.99971,0.001934,0.001934,0.001934
7,145.273,1.33947,0.77566,0.99063,0.88598,0.72435,0.83135,0.53175,1.26833,0.76558,0.97788,0.0019208,0.0019208,0.0019208
8,165.549,1.30642,0.75333,0.97949,0.87704,0.74572,0.84353,0.54426,1.2344,0.73996,0.96733,0.0019076,0.0019076,0.0019076
9,185.636,1.30478,0.74496,0.97978,0.86753,0.74096,0.8412,0.54449,1.23692,0.74259,0.97533,0.0018944,0.0018944,0.0018944
10,205.321,1.27908,0.72981,0.97397,0.86245,0.74984,0.8404,0.51494,1.33055,0.82606,0.98968,0.0018812,0.0018812,0.0018812
11,225.477,1.26627,0.72039,0.96974,0.89454,0.76232,0.86509,0.57007,1.19626,0.68714,0.95408,0.001868,0.001868,0.001868
12,245.678,1.23918,0.70278,0.96313,0.90155,0.75933,0.86763,0.584,1.16682,0.70433,0.9476,0.0018548,0.0018548,0.0018548
13,265.921,1.23767,0.6956,0.95894,0.88143,0.78203,0.86654,0.56388,1.20644,0.69518,0.9531,0.0018416,0.0018416,0.0018416
14,286.127,1.22083,0.68594,0.95609,0.91067,0.79145,0.88175,0.60009,1.12949,0.64839,0.93723,0.0018284,0.0018284,0.0018284
15,306.229,1.2042,0.67611,0.95089,0.89933,0.78846,0.8791,0.5928,1.12073,0.65274,0.9381,0.0018152,0.0018152,0.0018152
16,326.294,1.19138,0.67189,0.95195,0.89278,0.77662,0.87222,0.58187,1.16791,0.67029,0.94282,0.001802,0.001802,0.001802
17,346.351,1.19209,0.66691,0.94617,0.89717,0.78853,0.88437,0.5981,1.09813,0.637,0.92605,0.0017888,0.0017888,0.0017888
18,366.245,1.19311,0.66873,0.95052,0.90176,0.78409,0.88483,0.60318,1.0944,0.63674,0.9224,0.0017756,0.0017756,0.0017756
19,386.487,1.16113,0.64976,0.9438,0.90192,0.80108,0.88952,0.60239,1.16005,0.63767,0.93463,0.0017624,0.0017624,0.0017624
20,406.275,1.16414,0.64927,0.94398,0.91556,0.80791,0.89954,0.63336,1.05131,0.60412,0.91531,0.0017492,0.0017492,0.0017492
21,426.432,1.14621,0.64413,0.94029,0.90657,0.80044,0.89159,0.61464,1.08959,0.62711,0.92727,0.001736,0.001736,0.001736
22,446.56,1.15226,0.64365,0.9413,0.9141,0.79327,0.89096,0.61742,1.09711,0.62219,0.92301,0.0017228,0.0017228,0.0017228
