epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5016,1.79923,1.67199,1.15115,0.67785,0.55955,0.61436,0.32695,1.55595,1.16433,1.1023,0.000661578,0.000661578,0.000661578
2,62.735,1.60202,0.9828,1.06629,0.74848,0.6713,0.74191,0.40851,1.53669,1.03149,1.06938,0.00131948,0.00131948,0.00131948
3,90.5627,1.54041,0.92588,1.04182,0.74062,0.64334,0.71083,0.35602,1.64423,1.16479,1.11633,0.00196858,0.00196858,0.00196858
4,118.167,1.50087,0.887,1.03212,0.83622,0.70645,0.79033,0.46036,1.4201,0.90963,1.04682,0.0019604,0.0019604,0.0019604
5,145.966,1.44832,0.85236,1.01906,0.79191,0.70671,0.77471,0.46125,1.36328,0.99148,1.02839,0.0019472,0.0019472,0.0019472
6,173.227,1.41245,0.82199,1.00412,0.83063,0.71727,0.80814,0.49491,1.32895,0.90738,1.01534,0.001934,0.001934,0.001934
7,200.602,1.37046,0.79604,0.99733,0.85839,0.73905,0.83048,0.50766,1.33653,0.80989,0.99806,0.0019208,0.0019208,0.0019208
8,228.436,1.34216,0.77363,0.98896,0.86064,0.73152,0.83755,0.52273,1.29741,0.75914,0.98135,0.0019076,0.0019076,0.0019076
9,256.199,1.33483,0.76351,0.98718,0.86432,0.72588,0.82677,0.51082,1.32383,0.79598,1.00906,0.0018944,0.0018944,0.0018944
10,283.571,1.30212,0.74038,0.97707,0.87307,0.76163,0.85456,0.54982,1.20551,0.75981,0.96282,0.0018812,0.0018812,0.0018812
11,311.288,1.29531,0.73711,0.97502,0.88936,0.75447,0.85543,0.54935,1.22513,0.7205,0.96274,0.001868,0.001868,0.001868
12,339.005,1.26871,0.71913,0.96935,0.8925,0.77179,0.86599,0.56897,1.18694,0.71741,0.94792,0.0018548,0.0018548,0.0018548
13,366.542,1.26347,0.71289,0.96422,0.90315,0.75035,0.86441,0.56362,1.20982,0.69188,0.95034,0.0018416,0.0018416,0.0018416
14,394.079,1.24704,0.70499,0.9625,0.9079,0.76529,0.87164,0.5744,1.16695,0.68166,0.93866,0.0018284,0.0018284,0.0018284
15,421.088,1.23355,0.69536,0.95762,0.89644,0.77679,0.87634,0.58604,1.136,0.65321,0.94182,0.0018152,0.0018152,0.0018152
16,448.074,1.2229,0.6916,0.95934,0.87723,0.78074,0.87295,0.58514,1.15599,0.66698,0.94018,0.001802,0.001802,0.001802
17,475.746,1.21945,0.68277,0.95064,0.88746,0.77364,0.85509,0.54418,1.22702,0.71373,0.96396,0.0017888,0.0017888,0.0017888
18,502.654,1.20776,0.68278,0.95238,0.89998,0.7837,0.88212,0.59434,1.12917,0.66173,0.93137,0.0017756,0.0017756,0.0017756
19,529.862,1.19154,0.67224,0.94985,0.89741,0.77855,0.87996,0.601,1.12789,0.64301,0.9303,0.0017624,0.0017624,0.0017624
20,557.176,1.18427,0.66661,0.94986,0.89371,0.79786,0.88831,0.60681,1.08882,0.63207,0.92025,0.0017492,0.0017492,0.0017492
21,584.361,1.16617,0.65625,0.9423,0.89205,0.79696,0.88831,0.60592,1.11351,0.62784,0.92277,0.001736,0.001736,0.001736
22,611.681,1.15352,0.64562,0.9384,0.90705,0.79783,0.89369,0.62119,1.06672,0.60962,0.91934,0.0017228,0.0017228,0.0017228
