epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0681,1.90626,1.87631,1.26346,0.7578,0.51629,0.63611,0.34356,1.55409,1.25263,1.06178,0.00330789,0.00330789,0.00330789
2,52.8128,1.63323,1.02968,1.07631,0.82879,0.66251,0.76015,0.42323,1.43551,0.95066,1.00775,0.00660835,0.00660835,0.00660835
3,76.041,1.6307,1.00133,1.0604,0.78342,0.67761,0.74665,0.40215,1.4856,0.9853,1.0398,0.00987581,0.00987581,0.00987581
4,99.9648,1.58653,0.95905,1.04888,0.81365,0.6802,0.77962,0.4495,1.39531,0.93419,1.01303,0.0098515,0.0098515,0.0098515
5,123.383,1.49831,0.89949,1.02877,0.85963,0.7031,0.81235,0.47921,1.35063,0.88834,0.99367,0.009802,0.009802,0.009802
6,146.929,1.45128,0.85762,1.01144,0.85437,0.72815,0.82688,0.50684,1.29812,0.83867,0.99606,0.0097525,0.0097525,0.0097525
7,170.112,1.40963,0.83036,1.00336,0.86302,0.72821,0.82779,0.50543,1.3279,0.81662,0.99159,0.009703,0.009703,0.009703
8,193.233,1.37459,0.79714,0.99108,0.84631,0.73001,0.83194,0.50559,1.34067,0.79384,0.98871,0.0096535,0.0096535,0.0096535
9,216.725,1.35544,0.78647,0.987,0.89537,0.74623,0.85033,0.53853,1.2446,0.75472,0.96252,0.009604,0.009604,0.009604
10,239.3,1.33006,0.764,0.98218,0.8897,0.76233,0.8639,0.56189,1.18875,0.7208,0.95372,0.0095545,0.0095545,0.0095545
11,262.636,1.30639,0.75077,0.97562,0.86734,0.76452,0.85583,0.55947,1.19473,0.75472,0.95231,0.009505,0.009505,0.009505
12,286.138,1.29213,0.73802,0.97277,0.91233,0.76505,0.86522,0.57592,1.15097,0.69795,0.94346,0.0094555,0.0094555,0.0094555
13,309.549,1.27996,0.72867,0.96674,0.90171,0.77599,0.87591,0.58057,1.15548,0.67996,0.9445,0.009406,0.009406,0.009406
14,332.287,1.26148,0.71724,0.96146,0.89657,0.77739,0.87073,0.57517,1.16115,0.69723,0.93505,0.0093565,0.0093565,0.0093565
15,354.804,1.24352,0.70725,0.95682,0.90615,0.75409,0.8661,0.5721,1.16672,0.68761,0.93522,0.009307,0.009307,0.009307
16,377.552,1.22879,0.6992,0.9579,0.90242,0.78383,0.87692,0.5837,1.14551,0.68073,0.93993,0.0092575,0.0092575,0.0092575
17,399.798,1.21795,0.68848,0.94931,0.90672,0.76593,0.87695,0.5875,1.14235,0.67323,0.93813,0.009208,0.009208,0.009208
18,422.243,1.21484,0.68715,0.95279,0.90834,0.78085,0.87998,0.58637,1.12682,0.67761,0.93772,0.0091585,0.0091585,0.0091585
19,444.9,1.19242,0.67376,0.94743,0.90411,0.79877,0.88857,0.60789,1.08072,0.62897,0.9139,0.009109,0.009109,0.009109
20,467.453,1.18912,0.67128,0.94778,0.90632,0.8025,0.89387,0.61243,1.09628,0.63126,0.92698,0.0090595,0.0090595,0.0090595
21,489.505,1.17821,0.66309,0.94376,0.91334,0.7884,0.88623,0.61334,1.08289,0.62356,0.91402,0.00901,0.00901,0.00901
22,512.17,1.17434,0.65689,0.94017,0.92224,0.80198,0.89169,0.61668,1.08553,0.63306,0.92062,0.0089605,0.0089605,0.0089605
23,534.494,1.1627,0.65298,0.93938,0.91041,0.79876,0.89252,0.62265,1.06915,0.61852,0.92032,0.008911,0.008911,0.008911
24,556.664,1.15803,0.64821,0.93679,0.92493,0.79796,0.89205,0.61533,1.08036,0.6203,0.91644,0.0088615,0.0088615,0.0088615
25,579.458,1.14694,0.64023,0.93678,0.91533,0.80263,0.89497,0.62614,1.04824,0.6122,0.90591,0.008812,0.008812,0.008812
26,602.039,1.1469,0.64287,0.93589,0.92027,0.80549,0.89935,0.6323,1.04512,0.59401,0.90176,0.0087625,0.0087625,0.0087625
27,624.702,1.13986,0.63481,0.93394,0.90917,0.80679,0.89423,0.6267,1.04383,0.60067,0.90452,0.008713,0.008713,0.008713
28,647.416,1.12906,0.63074,0.92947,0.9167,0.79912,0.89945,0.63746,1.03258,0.59569,0.90264,0.0086635,0.0086635,0.0086635
29,670.168,1.11991,0.62549,0.92922,0.92663,0.80688,0.90378,0.63604,1.04058,0.6027,0.90279,0.008614,0.008614,0.008614
30,692.711,1.11783,0.62366,0.92855,0.93155,0.8008,0.89937,0.63227,1.02975,0.59074,0.90128,0.0085645,0.0085645,0.0085645
31,715.14,1.11287,0.62358,0.9298,0.92856,0.80657,0.90713,0.65234,1.01489,0.57743,0.89684,0.008515,0.008515,0.008515
32,738.167,1.10386,0.61416,0.92639,0.9291,0.80645,0.90591,0.65032,0.99236,0.57244,0.89095,0.0084655,0.0084655,0.0084655
33,760.803,1.09602,0.61463,0.92617,0.92431,0.81962,0.90825,0.65261,1.00606,0.57012,0.89469,0.008416,0.008416,0.008416
34,783.408,1.09279,0.6089,0.92297,0.9315,0.8128,0.90549,0.65325,0.98153,0.57401,0.88952,0.0083665,0.0083665,0.0083665
35,806.483,1.09069,0.60654,0.9226,0.92849,0.81524,0.90605,0.64801,0.98942,0.57204,0.89158,0.008317,0.008317,0.008317
36,829.014,1.08719,0.6068,0.92142,0.92275,0.82274,0.90816,0.65069,1.01239,0.57484,0.89205,0.0082675,0.0082675,0.0082675
37,851.214,1.07907,0.60277,0.91982,0.9277,0.82168,0.91159,0.65743,0.98733,0.5615,0.88877,0.008218,0.008218,0.008218
38,873.869,1.07849,0.60043,0.91967,0.92763,0.82347,0.91093,0.65633,0.98525,0.56222,0.89075,0.0081685,0.0081685,0.0081685
39,896.211,1.07675,0.59979,0.91955,0.92281,0.82902,0.90907,0.65695,0.97888,0.55412,0.88656,0.008119,0.008119,0.008119
40,918.456,1.0592,0.5922,0.91751,0.93611,0.81874,0.91207,0.6622,0.97649,0.55532,0.88431,0.0080695,0.0080695,0.0080695
41,941.023,1.06505,0.59315,0.91764,0.92841,0.81936,0.90959,0.66204,0.98542,0.56327,0.88659,0.00802,0.00802,0.00802
42,963.427,1.0622,0.58982,0.91495,0.92119,0.82621,0.91212,0.65378,0.99928,0.572,0.89277,0.0079705,0.0079705,0.0079705
43,986.351,1.05574,0.58533,0.91206,0.9239,0.82902,0.913,0.66322,0.97608,0.55809,0.8893,0.007921,0.007921,0.007921
44,1008.65,1.06199,0.58769,0.91482,0.92544,0.83419,0.91262,0.66715,0.96671,0.55118,0.8835,0.0078715,0.0078715,0.0078715
45,1031.78,1.04512,0.57848,0.91339,0.92997,0.82063,0.91348,0.67059,0.96021,0.54709,0.88338,0.007822,0.007822,0.007822
46,1055.34,1.04187,0.58085,0.91271,0.93662,0.82955,0.91957,0.67859,0.94129,0.53398,0.87525,0.0077725,0.0077725,0.0077725
47,1078.12,1.04282,0.57998,0.91183,0.9314,0.83213,0.91623,0.67152,0.94839,0.54024,0.87883,0.007723,0.007723,0.007723
48,1101.58,1.04052,0.57978,0.91277,0.93101,0.83401,0.91832,0.67364,0.95277,0.53839,0.8786,0.0076735,0.0076735,0.0076735
49,1125.04,1.03763,0.57547,0.91315,0.93755,0.83057,0.91688,0.67829,0.92418,0.52525,0.87308,0.007624,0.007624,0.007624
50,1148.04,1.02565,0.57047,0.91271,0.92369,0.82907,0.91871,0.67551,0.94933,0.52741,0.87835,0.0075745,0.0075745,0.0075745
51,1171.15,1.02335,0.56994,0.90932,0.93866,0.8325,0.9205,0.68265,0.92892,0.53175,0.87253,0.007525,0.007525,0.007525
52,1194.23,1.02533,0.57003,0.90738,0.93156,0.83237,0.9179,0.67844,0.94021,0.52903,0.87851,0.0074755,0.0074755,0.0074755
53,1217.44,1.01874,0.57072,0.90923,0.93183,0.83803,0.92107,0.68255,0.92833,0.52077,0.87452,0.007426,0.007426,0.007426
54,1240.69,1.0242,0.56894,0.90711,0.92471,0.83533,0.92098,0.6822,0.94695,0.52784,0.87569,0.0073765,0.0073765,0.0073765
55,1263.58,1.01647,0.56732,0.90822,0.93678,0.83417,0.91865,0.68225,0.93095,0.52547,0.87118,0.007327,0.007327,0.007327
56,1287.44,1.00941,0.55915,0.90586,0.9368,0.83378,0.92202,0.68274,0.93287,0.51965,0.86935,0.0072775,0.0072775,0.0072775
57,1310.96,1.00984,0.56207,0.90711,0.9329,0.83956,0.92349,0.69157,0.91477,0.51333,0.8662,0.007228,0.007228,0.007228
58,1333.89,1.00858,0.56008,0.90521,0.93341,0.83741,0.92109,0.68633,0.91345,0.51432,0.87112,0.0071785,0.0071785,0.0071785
59,1357.3,0.998,0.55516,0.90343,0.93982,0.83147,0.92461,0.69358,0.90423,0.50944,0.86946,0.007129,0.007129,0.007129
60,1380.35,1.00229,0.55845,0.90724,0.93286,0.83275,0.92127,0.69374,0.90948,0.51104,0.87098,0.0070795,0.0070795,0.0070795
61,1403.74,1.00232,0.55726,0.90544,0.93599,0.84344,0.92106,0.69012,0.91278,0.5069,0.86843,0.00703,0.00703,0.00703
62,1426.43,0.99726,0.55341,0.90398,0.93702,0.84091,0.92568,0.6949,0.90179,0.50591,0.86433,0.0069805,0.0069805,0.0069805
63,1449.5,0.99937,0.55513,0.90176,0.9424,0.83366,0.9236,0.69362,0.90671,0.50876,0.86645,0.006931,0.006931,0.006931
64,1472.89,0.99277,0.55132,0.90248,0.93786,0.83756,0.9242,0.69982,0.88442,0.49919,0.86556,0.0068815,0.0068815,0.0068815
65,1495.74,0.9847,0.54764,0.90177,0.93471,0.83687,0.92345,0.69357,0.90637,0.50456,0.86353,0.006832,0.006832,0.006832
66,1519.21,0.98041,0.54308,0.89987,0.93971,0.84305,0.92482,0.69808,0.89864,0.50421,0.86624,0.0067825,0.0067825,0.0067825
67,1542.68,0.98761,0.54653,0.90022,0.93648,0.8409,0.9242,0.6999,0.88283,0.50191,0.86603,0.006733,0.006733,0.006733
68,1565.67,0.9787,0.5435,0.90136,0.94225,0.84177,0.9266,0.70017,0.88731,0.49694,0.86152,0.0066835,0.0066835,0.0066835
69,1588.93,0.98256,0.54502,0.89975,0.9423,0.83855,0.92573,0.70198,0.88894,0.49845,0.86197,0.006634,0.006634,0.006634
70,1612.12,0.97642,0.54271,0.89855,0.93856,0.84009,0.9267,0.70377,0.89086,0.49843,0.86387,0.0065845,0.0065845,0.0065845
71,1635.14,0.96967,0.54054,0.89864,0.93984,0.84228,0.92795,0.70817,0.87594,0.48892,0.85902,0.006535,0.006535,0.006535
72,1658.12,0.97581,0.54349,0.89886,0.93784,0.84434,0.92478,0.70499,0.87339,0.49406,0.86045,0.0064855,0.0064855,0.0064855
73,1681.06,0.97466,0.53965,0.89893,0.93869,0.84763,0.92962,0.71015,0.87155,0.48963,0.85882,0.006436,0.006436,0.006436
74,1704.12,0.97108,0.53803,0.89797,0.94172,0.84099,0.92851,0.70883,0.87312,0.48863,0.86053,0.0063865,0.0063865,0.0063865
75,1727.07,0.96806,0.53468,0.89778,0.9397,0.84266,0.92858,0.71302,0.86276,0.48712,0.85707,0.006337,0.006337,0.006337
76,1749.78,0.96253,0.53162,0.89638,0.94185,0.84872,0.93069,0.71257,0.86632,0.48497,0.85638,0.0062875,0.0062875,0.0062875
77,1772.9,0.96131,0.53252,0.89686,0.93747,0.84738,0.93015,0.71171,0.85941,0.48423,0.85592,0.006238,0.006238,0.006238
78,1795.64,0.95692,0.53089,0.89552,0.93309,0.8546,0.93216,0.71104,0.85198,0.4835,0.85636,0.0061885,0.0061885,0.0061885
79,1818.28,0.95863,0.53199,0.89591,0.93728,0.85237,0.93214,0.71719,0.85839,0.48142,0.85627,0.006139,0.006139,0.006139
80,1841.38,0.95094,0.52689,0.89246,0.93713,0.85014,0.92958,0.71279,0.85003,0.47857,0.85532,0.0060895,0.0060895,0.0060895
81,1863.96,0.95048,0.52889,0.89233,0.93586,0.85271,0.93028,0.71353,0.85525,0.48131,0.85611,0.00604,0.00604,0.00604
82,1886.91,0.95364,0.52973,0.89401,0.93593,0.8501,0.93102,0.71793,0.84474,0.47741,0.85215,0.0059905,0.0059905,0.0059905
83,1909.72,0.95255,0.52765,0.89404,0.9417,0.85056,0.93085,0.7153,0.85934,0.4759,0.85607,0.005941,0.005941,0.005941
84,1932.69,0.94876,0.52416,0.89091,0.94253,0.84877,0.93112,0.71543,0.85556,0.47676,0.85499,0.0058915,0.0058915,0.0058915
85,1955.8,0.94382,0.52411,0.89303,0.93665,0.85464,0.93236,0.72113,0.83938,0.47076,0.85256,0.005842,0.005842,0.005842
86,1978.21,0.94054,0.52126,0.8932,0.94061,0.85035,0.93229,0.72083,0.84513,0.47026,0.85443,0.0057925,0.0057925,0.0057925
87,2001.25,0.94,0.52257,0.89057,0.94142,0.85026,0.93256,0.72374,0.83143,0.47105,0.8503,0.005743,0.005743,0.005743
88,2024.05,0.9458,0.52447,0.89317,0.94018,0.84982,0.93266,0.72041,0.84677,0.47081,0.85263,0.0056935,0.0056935,0.0056935
89,2046.56,0.93747,0.51859,0.88972,0.93705,0.85735,0.93436,0.724,0.83703,0.46603,0.85101,0.005644,0.005644,0.005644
