epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.907,1.8677,1.76072,1.2963,0.80079,0.43105,0.58396,0.32104,1.50328,1.3874,1.10299,0.00330789,0.00330789,0.00330789
2,76.9813,1.63024,0.99382,1.10238,0.78624,0.62701,0.72734,0.40975,1.41135,0.97081,1.05883,0.00661492,0.00661492,0.00661492
3,110.364,1.64455,0.97435,1.09061,0.80418,0.61916,0.74131,0.40393,1.46638,0.95363,1.07599,0.00989556,0.00989556,0.00989556
4,143.694,1.59728,0.93587,1.07555,0.82371,0.6713,0.78339,0.45912,1.34328,0.86046,1.04121,0.0098812,0.0098812,0.0098812
5,176.94,1.5195,0.88586,1.05572,0.8512,0.69747,0.80632,0.48409,1.32066,0.85786,1.0333,0.0098416,0.0098416,0.0098416
6,209.569,1.47163,0.84554,1.03758,0.8765,0.70877,0.82753,0.50887,1.27672,0.74992,1.01751,0.009802,0.009802,0.009802
7,242.592,1.42799,0.81775,1.02886,0.86184,0.71562,0.81673,0.49617,1.30375,0.78371,1.04721,0.0097624,0.0097624,0.0097624
8,275.404,1.38389,0.78507,1.01445,0.88446,0.70863,0.833,0.51905,1.23468,0.73387,1.01978,0.0097228,0.0097228,0.0097228
9,308.235,1.37175,0.77622,1.01298,0.86595,0.73387,0.83809,0.5198,1.27685,0.73767,1.02064,0.0096832,0.0096832,0.0096832
10,341.331,1.35193,0.75881,1.00765,0.84757,0.72306,0.8239,0.50075,1.2952,0.75127,1.02755,0.0096436,0.0096436,0.0096436
11,374.543,1.32143,0.74108,0.99776,0.85449,0.76645,0.85469,0.54851,1.20343,0.69767,0.99759,0.009604,0.009604,0.009604
12,407.445,1.30891,0.72968,0.99559,0.88453,0.74778,0.85756,0.56626,1.14998,0.67675,0.97969,0.0095644,0.0095644,0.0095644
13,440.178,1.29691,0.72292,0.98784,0.88695,0.75962,0.86659,0.56664,1.15991,0.66791,0.9859,0.0095248,0.0095248,0.0095248
14,473.814,1.27648,0.70841,0.98327,0.89146,0.77403,0.87279,0.57678,1.14666,0.64261,0.97499,0.0094852,0.0094852,0.0094852
15,506.907,1.26385,0.70341,0.97959,0.89882,0.76977,0.87151,0.57536,1.14842,0.64699,0.98167,0.0094456,0.0094456,0.0094456
16,539.632,1.24691,0.69362,0.9797,0.89779,0.77894,0.87741,0.58244,1.13094,0.63716,0.97588,0.009406,0.009406,0.009406
17,572.345,1.23698,0.683,0.96913,0.90949,0.76683,0.87999,0.59375,1.11992,0.6317,0.97228,0.0093664,0.0093664,0.0093664
18,605.015,1.23278,0.68101,0.97386,0.91164,0.78628,0.88446,0.59788,1.09337,0.60908,0.96095,0.0093268,0.0093268,0.0093268
19,637.679,1.20763,0.66906,0.96651,0.89821,0.77482,0.87969,0.59189,1.11223,0.62318,0.97278,0.0092872,0.0092872,0.0092872
20,670.345,1.20733,0.66135,0.96896,0.89585,0.7904,0.88574,0.59805,1.07556,0.60549,0.95702,0.0092476,0.0092476,0.0092476
21,703.855,1.19435,0.65921,0.96246,0.90665,0.76748,0.87943,0.59088,1.07846,0.60441,0.96219,0.009208,0.009208,0.009208
22,737.206,1.19229,0.65382,0.96046,0.89576,0.78962,0.88104,0.60341,1.07072,0.59387,0.96021,0.0091684,0.0091684,0.0091684
